Vol,peso_inicial,peso_final,nota,series_index
35,0.8524,0.8729,pipeteo en serie de 35 ul (x4),1
35,0.8556,0.8912,pipeteo en serie de 35 ul (x4),2
35,0.8709,0.906,pipeteo en serie de 35 ul (x4),3
35,0.8587,0.8881,pipeteo en serie de 35 ul (x4),4
