Vol,peso_inicial,peso_final,clase,serie,nota
150,0.8598,1.0125,target,5p,0.1527
50,0.8742,0.9243,target,5p,0.0501
20,0.8562,0.8747,target,5p,0.0185
150,0.8525,1.0032,target,5p,0.1507
50,0.86,0.9095,target,5p,0.0495
20,0.8521,0.8713,target,5p,0.0192
150,0.8713,1.0189,target,0p,0.1476
50,0.8487,0.8966,target,0p,0.0479
20,0.8603,0.8789,target,0p,0.0186
150,0.8712,1.0184,target,0p,0.1472
50,0.8608,0.91,target,0p,0.0492
20,0.8607,0.8792,target,0p,0.0185
