Vol,peso_inicial,peso_final,clase
150,1.442,1.2874,source
50,1.3479,1.2945,source
20,1.3901,1.3665,source
0,1.486,1.482,source
150,0.8605,1.0086,target
50,0.8611,0.9092,target
20,0.8735,0.8922,target
0,0.8526,0.8531,target
