Vol,peso_inicial,peso_final,nota
170,0.8569,1.0135,
170,0.8524,1.0095,
170,0.8515,1.0078,
170,0.8525,1.0089,
90,0.8517,0.9391,
90,0.8523,0.9395,
90,0.8554,0.9423,
90,0.8715,0.9588,
30,0.8512,0.8788,
30,0.8523,0.8806,
30,0.8485,0.8765,
30,0.8609,0.8889,
0,0.8484,0.8477,"tubo al que no le agregue nada, quedo cerrado mientras pipeteaba"
0,0.8583,0.8579,"tubo al que no le agregue nada, quedo cerrado mientras pipeteaba"
